913 1514 1.65827 [36, 18, 10, 32, 0, 39, 8, 37, 6, 30, 35, 25, 26, 5, 13, 33, 21, 15, 3, 24, 27, 34, 16, 11, 4, 22, 19, 1, 17, 29, 14, 2, 23, 20, 31, 28, 9, 38, 7, 12, ]
913 4932 5.40197 [14, 2, 26, 24, 27, 11, 4, 9, 34, 31, 16, 33, 32, 20, 8, 36, 0, 15, 35, 23, 22, 37, 19, 18, 5, 10, 17, 28, 25, 39, 1, 13, 38, 29, 6, 3, 30, 12, 7, 21, ]
1225 1673 1.36571 [37, 28, 38, 35, 4, 1, 29, 15, 23, 9, 6, 19, 3, 27, 8, 7, 26, 10, 17, 33, 16, 18, 34, 22, 20, 25, 31, 13, 32, 14, 24, 21, 39, 2, 12, 30, 36, 11, 0, 5, ]
1225 5361 4.37633 [31, 7, 9, 2, 25, 22, 10, 12, 35, 8, 3, 20, 37, 18, 6, 39, 19, 38, 14, 30, 11, 32, 27, 28, 13, 21, 29, 24, 33, 17, 23, 5, 1, 15, 34, 26, 36, 4, 16, 0, ]
537 1208 2.24953 [2, 9, 27, 31, 32, 25, 0, 33, 15, 3, 6, 5, 26, 16, 17, 37, 8, 28, 13, 30, 24, 34, 12, 39, 35, 38, 21, 10, 7, 19, 18, 29, 4, 22, 23, 14, 20, 11, 36, 1, ]
537 3853 7.17505 [8, 13, 37, 9, 0, 3, 10, 34, 28, 36, 22, 12, 30, 14, 16, 33, 20, 7, 2, 35, 1, 19, 4, 18, 39, 38, 15, 27, 17, 26, 29, 24, 21, 25, 5, 6, 31, 11, 32, 23, ]
2094 4014 1.91691 [26, 27, 23, 10, 8, 35, 15, 34, 5, 0, 39, 4, 30, 36, 3, 18, 28, 38, 22, 7, 12, 1, 37, 9, 2, 14, 24, 16, 19, 17, 25, 20, 11, 29, 33, 13, 31, 21, 6, 32, ]
2094 6460 3.085 [13, 18, 4, 6, 30, 22, 32, 2, 11, 28, 7, 24, 1, 27, 20, 19, 12, 8, 38, 23, 21, 25, 10, 35, 3, 34, 26, 0, 36, 17, 16, 31, 14, 15, 33, 5, 39, 9, 29, 37, ]
990 1165 1.17677 [24, 15, 19, 6, 9, 34, 28, 22, 23, 30, 11, 14, 29, 35, 0, 37, 20, 27, 10, 39, 5, 8, 36, 18, 32, 16, 25, 7, 33, 12, 3, 38, 31, 1, 21, 17, 26, 2, 4, 13, ]
990 5110 5.16162 [21, 32, 14, 26, 28, 7, 17, 0, 38, 25, 15, 22, 24, 31, 37, 27, 20, 11, 29, 30, 12, 19, 23, 39, 1, 5, 8, 16, 10, 34, 36, 6, 33, 2, 35, 3, 18, 4, 9, 13, ]
6955 8691 1.2496 [20, 6, 31, 33, 15, 21, 28, 17, 25, 1, 2, 9, 5, 11, 38, 39, 16, 4, 37, 29, 35, 30, 12, 7, 24, 10, 34, 36, 19, 8, 22, 3, 32, 13, 27, 23, 14, 18, 26, 0, ]
6955 24719 3.55413 [20, 19, 9, 21, 32, 10, 16, 11, 2, 12, 31, 33, 8, 7, 1, 22, 24, 15, 3, 39, 36, 25, 27, 26, 18, 17, 38, 28, 5, 30, 35, 29, 37, 13, 6, 34, 0, 4, 14, 23, ]
6324 8044 1.27198 [12, 0, 29, 37, 24, 18, 14, 21, 26, 10, 28, 36, 15, 9, 27, 34, 5, 20, 30, 6, 23, 32, 19, 7, 31, 11, 39, 17, 2, 1, 16, 35, 33, 25, 22, 13, 4, 38, 3, 8, ]
6324 22605 3.57448 [8, 27, 22, 18, 35, 29, 15, 23, 25, 1, 28, 6, 9, 30, 20, 21, 32, 26, 17, 11, 31, 0, 24, 34, 7, 19, 4, 10, 39, 37, 14, 3, 5, 2, 33, 16, 13, 36, 12, 38, ]
6865 6865 1 [19, 8, 29, 27, 11, 5, 33, 15, 22, 37, 38, 30, 39, 7, 2, 4, 18, 26, 16, 3, 14, 24, 34, 0, 23, 12, 31, 36, 10, 21, 25, 1, 6, 28, 32, 35, 17, 20, 9, 13, ]
6865 18634 2.71435 [10, 19, 38, 8, 18, 4, 35, 36, 23, 7, 15, 37, 2, 20, 33, 0, 6, 30, 22, 13, 11, 12, 28, 9, 31, 24, 21, 39, 5, 27, 34, 14, 25, 26, 29, 32, 1, 16, 17, 3, ]
16225 17035 1.04992 [19, 18, 25, 8, 24, 26, 34, 27, 9, 13, 20, 21, 12, 35, 38, 37, 16, 30, 36, 10, 5, 31, 14, 29, 2, 22, 33, 11, 0, 17, 4, 39, 6, 15, 1, 23, 7, 32, 28, 3, ]
16225 34951 2.15414 [21, 2, 20, 31, 38, 10, 36, 23, 39, 1, 37, 33, 22, 13, 18, 14, 4, 16, 24, 11, 30, 34, 29, 27, 28, 8, 7, 9, 12, 17, 0, 15, 26, 3, 25, 6, 19, 32, 35, 5, ]
9737 11005 1.13022 [29, 14, 9, 17, 34, 7, 0, 31, 24, 33, 38, 15, 12, 20, 32, 37, 35, 27, 6, 3, 21, 19, 36, 1, 13, 28, 8, 10, 2, 39, 30, 22, 25, 26, 18, 4, 5, 23, 11, 16, ]
9737 32633 3.35144 [22, 13, 35, 38, 5, 20, 9, 6, 0, 26, 21, 11, 33, 37, 1, 39, 15, 2, 36, 32, 28, 29, 30, 23, 8, 14, 34, 7, 12, 24, 16, 25, 17, 19, 4, 3, 18, 10, 31, 27, ]
17465 17985 1.02977 [1, 30, 34, 28, 31, 35, 7, 21, 9, 25, 33, 17, 19, 16, 3, 13, 14, 18, 11, 37, 26, 2, 29, 0, 27, 38, 36, 12, 32, 24, 22, 6, 4, 39, 20, 15, 23, 5, 10, 8, ]
17465 49444 2.83103 [19, 3, 7, 12, 4, 1, 34, 0, 20, 30, 14, 9, 21, 28, 15, 38, 35, 2, 33, 11, 13, 22, 18, 27, 37, 31, 17, 25, 5, 26, 16, 36, 32, 29, 6, 10, 39, 8, 24, 23, ]
19312 19820 1.0263 [10, 15, 30, 23, 19, 13, 6, 18, 12, 11, 31, 14, 2, 39, 20, 36, 9, 37, 32, 1, 34, 0, 33, 21, 3, 5, 25, 8, 29, 22, 27, 16, 26, 4, 7, 24, 38, 28, 17, 35, ]
19312 48813 2.5276 [1, 6, 36, 8, 27, 31, 15, 23, 28, 37, 12, 34, 29, 19, 14, 30, 24, 9, 16, 5, 32, 2, 0, 3, 17, 33, 21, 11, 13, 39, 7, 20, 35, 22, 26, 18, 4, 25, 38, 10, ]
29256 31776 1.08614 [26, 13, 20, 21, 25, 8, 34, 32, 4, 18, 36, 33, 11, 30, 16, 39, 28, 15, 12, 19, 29, 10, 0, 6, 22, 31, 5, 37, 3, 1, 27, 35, 2, 24, 14, 38, 7, 9, 17, 23, ]
29256 68214 2.33162 [15, 34, 24, 9, 3, 20, 11, 35, 13, 5, 36, 26, 28, 32, 19, 7, 31, 21, 25, 6, 22, 18, 33, 39, 8, 29, 16, 0, 2, 1, 27, 30, 37, 12, 4, 23, 14, 38, 17, 10, ]
14377 15391 1.07053 [6, 3, 37, 14, 11, 18, 20, 35, 39, 24, 31, 34, 15, 26, 13, 5, 25, 12, 33, 8, 9, 32, 23, 19, 1, 21, 28, 2, 30, 29, 10, 4, 16, 17, 0, 7, 38, 27, 36, 22, ]
14377 36621 2.54719 [9, 1, 32, 21, 36, 10, 35, 8, 37, 39, 26, 34, 12, 20, 3, 28, 13, 7, 31, 16, 25, 15, 5, 23, 2, 33, 4, 29, 27, 30, 19, 14, 24, 6, 0, 38, 17, 18, 11, 22, ]
26914 28237 1.04916 [19, 0, 28, 30, 31, 3, 29, 34, 1, 22, 18, 24, 9, 35, 39, 21, 14, 6, 26, 36, 25, 2, 7, 38, 20, 27, 15, 4, 5, 10, 16, 37, 8, 13, 23, 33, 32, 11, 12, 17, ]
26914 66864 2.48436 [38, 39, 36, 11, 37, 27, 24, 2, 18, 31, 0, 4, 12, 28, 34, 5, 19, 3, 29, 15, 35, 25, 21, 1, 30, 10, 16, 9, 20, 23, 33, 32, 17, 6, 8, 22, 7, 14, 26, 13, ]
72317 77011 1.06491 [2, 32, 15, 18, 37, 11, 1, 33, 0, 23, 5, 3, 19, 30, 38, 7, 9, 25, 27, 34, 8, 22, 24, 17, 13, 4, 20, 36, 6, 14, 28, 26, 29, 10, 21, 39, 16, 12, 35, 31, ]
72317 131694 1.82107 [33, 15, 39, 17, 27, 4, 30, 24, 31, 3, 21, 38, 28, 1, 32, 0, 9, 37, 18, 19, 26, 11, 13, 5, 8, 25, 36, 10, 6, 29, 7, 14, 34, 2, 20, 23, 22, 35, 16, 12, ]
78623 79938 1.01673 [12, 0, 37, 22, 23, 2, 27, 4, 17, 35, 28, 38, 10, 3, 24, 16, 18, 6, 8, 14, 30, 15, 5, 33, 34, 26, 19, 32, 36, 21, 39, 29, 20, 7, 9, 1, 11, 25, 31, 13, ]
78623 124513 1.58367 [39, 17, 24, 9, 19, 23, 5, 32, 6, 16, 15, 12, 34, 28, 3, 37, 26, 38, 4, 25, 8, 20, 29, 31, 2, 35, 22, 33, 18, 14, 7, 10, 13, 1, 36, 0, 21, 27, 11, 30, ]
